concept,shared
GO OUTSIDE,216
PLAY-ALL,288
WALK,173
FOOD,242
SCRITCHES,151
TOY-BALL,143
TOY-OTHER,132
WATER,215
COME,83
PERSON-PARENT,227
POTTY,121
WANT,177
OTHER,225
LAP,8
OWN NAME,209
TREAT-ALL,121
OUTDOOR LOCATION-BACK YARD,46
TOY-STUFFED ANIMAL,58
ALL DONE,285
TREAT-ICE,50
INDOOR LOCATION-DOWNSTAIRS,26
NOW,171
LET'S GO,45
LATER,182
LOVE YOU,189
PEE,32
OUTDOOR LOCATION-OTHER,56
ANIMAL-CAT,52
BYE,89
RIDE,48
GO INSIDE,32
INTERROGATIVE/QUESTION,120
MORE,90
YES,176
HELP,160
CUDDLE,96
INDOOR LOCATION-BEDROOM,34
HOME,78
PLACE-OTHER,46
ANIMAL-FRIEND,52
PERSON-STRANGER,64
CONCERNED,68
HI,63
NO,156
LOOK,72
TOY-PUZZLE,117
TOY-FRISBEE,10
MAD,85
TOY-BONE,43
ANIMAL-SQUIRREL,11
HAPPY,97
POOP,53
OUTDOOR LOCATION-FRONT YARD,15
PLAY-TUG,71
SIT,1
ANIMAL-DOG,82
GO TO BED,58
BRUSH,29
OUTDOOR LOCATION-GARDEN,10
PERSON-ROOMMATE,14
PERSON-RELATIVE,52
SETTLE,99
INDOOR LOCATION-OTHER,41
INDOOR LOCATION-UPSTAIRS,42
BATH,11
BEGIN TRAINING SESSION,57
PLACE-PARK,57
PERSON-OTHER,37
TRICK-OTHER,9
PLACE-BEACH,17
SAD,21
PERSON-FRIEND,69
ANIMAL-LIZARD,5
FIND,14
DOWN,3
OK,22
ANIMAL-OTHER,27
TEMPERATURE-HOT,18
PLACE-DAYCARE,17
TRICK-TOUCH,3
RUN/GO FAST,8
BODY PART,40
INDOOR LOCATION-KITCHEN,9
ANIMAL-BIRD,19
PLAY-HIDE & SEEK,19
PERSON-WALKER/TRAINER,1
OUTDOOR LOCATION-PORCH,11
PLAY-FETCH,26
PERSON-SIBLING,27
PERSON-NEIGHBOR,10
HUG,6
TEMPERATURE-COLD,13
SWIM,9
QUIET,7
ANIMAL-RABBIT,8
INDOOR LOCATION-OFFICE,8
PLACE-VET,5
CRATE,7
WAIT,12
ANIMAL-BUG,6
HEEL,2
STAY,1
TRICK-GIVE PAW,4
ANIMAL-MOUSE,1
INDOOR LOCATION-BATHROOM,3
PLACE-SOMEONE ELSE'S HOUSE,5
GIVE,4
GET IT,2
KISS,7
LOAD,1
JUMP,2
TREAT-CHICKEN,3
